type,name,year,constant
vernal,春分の日,1899,19.8277
,,1979,20.8357
,,2099,20.8431
,,9999,21.851
autumnal,秋分の日,1899,22.2588
,,1979,23.2588
,,2099,23.2488
,,9999,24.2488
